Categoria;Marca;Modelo;Versão;Motor;Propulsão;Transmissão e Velocidades;"Ar
Condicionado";"Direção
Assistida";Combustível;"NMOG+NOx
(mg/km)";"CO
(mg/km)";"CHO
(mg/km)";Emissões Etanol (CO2 g/km);Emissões Gasolina/Diesel (CO2 g/km);Emissões PHEV (CO2 g/km);Consumo Etanol - Cidade (km/l);Consumo Etanol - Estrada (km/l);Consumo Gas. ou Di. - Cidade (km/l);Consumo Gas. ou Di. - Estrada (km/l);Consumo EV ou PHEV - Cidade (km/l e);Consumo EV ou PHEV - Estrada (km/l e);Consumo Energético (MJ/km);Autonomia Elétrico (km)
Picape;FORD;Nova F150;Lariat Chrome;5.0 - 32V;Combustão;A-10;S;E;G;25;224;0;\;190;\;\;\;6,5;8,5;\;\;3,08;\
Picape;FORD;Nova F150;Tremor;5.0 - 32V;Combustão;A-10;S;E;G;42;274;1;\;209;\;\;\;6;7,5;\;\;3,39;\
Picape;FORD;Maverick;Lariat;2.0 - 16V;Combustão;A-8;S;E;G;12;140;1;\;142;\;\;\;8,5;11,4;\;\;2,3;\
Picape;FORD;Maverick;Tremor;2.0 - 16V;Combustão;A-8;S;E;G;11;216;0;\;146;\;\;\;8,4;10,7;\;\;2,37;\
Picape;FOTON;TUNLAND;V7;2.0-16V;Híbrido;A-8;S;E;D;20;16;ND;\;\;\;\;\;8,7;9,9;\;\;2,95;\
Picape;FOTON;TUNLAND;V9;2.0-16V;Híbrido;A-8;S;E;D;20;16;ND;\;\;\;\;\;8,7;9,9;\;\;2,95;\
Picape;GWM;POER P30;EXC;2.4 - 16V;Combustão;A-9;S;E;D;73;23;0;\;\;\;\;\;9,4;10,4;\;\;2,75;\
Picape;GWM;POER P30;TRL;2.4 - 16V;Combustão;A-9;S;E;D;73;23;0;\;\;\;\;\;9,4;10,4;\;\;2,75;\
Picape;JAC;IEV330P;IEV330;ELÉTRICO;ELÉTRICO;A-1;S;E;E;ND;ND;ND;\;\;\;\;\;\;\;29,2;25,1;0,75;226
Picape;JAC;HUNTER;HUNTER AT;2.0-16V;Combustão;A-8;S;E-H;D;91;26;8;\;230;\;\;\;9;10,2;\;\;2,84;\
Picape;JAC;HUNTER;HUNTER HD 4X4 AT;2.0-16V;Combustão;A-8;S;E-H;D;91;26;8;\;230;\;\;\;9;10,2;\;\;2,84;\
Picape;JAC;HUNTER;HUNTER HD AT;2.0-16V;Combustão;A-8;S;E-H;D;91;26;8;\;230;\;\;\;9;10,2;\;\;2,84;\
Picape;JAC;HUNTER;HUNTER HW  AT;2.0-16V;Combustão;A-8;S;E-H;D;91;26;8;\;230;\;\;\;9;10,2;\;\;2,84;\
Picape;JEEP;GLADIATOR;RUBICON;3.6-24V;Combustão;A-8;S;E-H;G;36;309;1;\;209;\;\;\;6,3;7,1;\;\;3,38;\
Picape;Mitsubishi;Triton;GL AT2;2.4-16V;Combustão;AT;S;E;D;41;91;ND;\;\;\;\;\;10,2;12,3;\;\;2,43;\
Picape;Mitsubishi;Triton;GLS AT2;2.4-16V;Combustão;AT;S;E;D;41;91;ND;\;\;\;\;\;10,2;12,3;\;\;2,43;\
Picape;Mitsubishi;Triton;GL MT4;2.4-16V;Combustão;MT;S;E;D;62;56;ND;\;\;\;\;\;10,8;12,2;\;\;2,34;\
Picape;Mitsubishi;Triton;GL AT4;2.4-16V;Combustão;AT;S;E;D;57;119;ND;\;\;\;\;\;9,5;11,7;\;\;2,6;\
Picape;Mitsubishi;Triton;GLS AT4;2.4-16V;Combustão;AT;S;E;D;57;119;ND;\;\;\;\;\;9,5;11,7;\;\;2,6;\
Picape;Mitsubishi;Triton;HPE AT4;2.4-16V;Combustão;AT;S;E;D;57;119;ND;\;\;\;\;\;9,5;11,7;\;\;2,6;\
Picape;Mitsubishi;Triton;HPE-S AT4;2.4-16V;Combustão;AT;S;E;D;57;119;ND;\;\;\;\;\;9,5;11,7;\;\;2,6;\
Picape;Mitsubishi;Triton;KATANA AT4;2.4-16V;Combustão;AT;S;E;D;57;119;ND;\;\;\;\;\;9,5;11,7;\;\;2,6;\
Picape;Mitsubishi;L200 Triton Sport;GLS;2.4-16V;Combustão;A-6;S;H;D;196;25;ND;\;\;\;\;\;9,3;10,3;\;\;2,78;\
Picape;Mitsubishi;L200 Triton Sport;OUTDOOR GLS;2.4-16V;Combustão;A-6;S;H;D;196;25;ND;\;\;\;\;\;9,3;10,3;\;\;2,78;\
Picape;Mitsubishi;L200 Triton Sport;HPE;2.4-16V;Combustão;A-6;S;H;D;196;25;ND;\;\;\;\;\;9,3;10,3;\;\;2,78;\
Picape;Mitsubishi;L200 Triton Sport;HPE-S;2.4-16V;Combustão;A-6;S;H;D;196;25;ND;\;\;\;\;\;9,3;10,3;\;\;2,78;\
Picape;Nissan;Frontier;S MT X4;2.3-16V;Combustão;M-6;S;H;D;79;32;ND;\;\;\;\;\;9,7;10,9;\;\;2,64;\
Picape;Nissan;Frontier;ATK X4;2.3-16V;Combustão;A-7;S;H;D;112;29;ND;\;\;\;\;\;9,4;10,9;\;\;2,7;\
Picape;Nissan;Frontier;PRO4X;2.3-16V;Combustão;A-7;S;H;D;112;29;ND;\;\;\;\;\;9,4;10,9;\;\;2,7;\
Picape;Nissan;Frontier;SE X4;2.3-16V;Combustão;A-7;S;H;D;112;29;ND;\;\;\;\;\;9,4;10,9;\;\;2,7;\
Picape;Nissan;Frontier;PLT;2.3-16V;Combustão;A-7;S;H;D;120;28;ND;\;\;\;\;\;9,4;11;\;\;2,69;\
Picape;Nissan;Frontier;XE X4;2.3-16V;Combustão;A-7;S;H;D;120;28;ND;\;\;\;\;\;9,4;11;\;\;2,69;\
Picape;RAM;1500;LARAMIE;3.0T-24V;Combustão;A-8;S;E;G;20;121;1;\;216;\;\;\;6;7;\;\;3,5;\
Picape;RAM;1500;LARAMIE NE;3.0T-24V;Combustão;A-8;S;E;G;20;121;1;\;216;\;\;\;6;7;\;\;3,5;\
Picape;RAM;1500;REBEL;3.0T-24V;Combustão;A-8;S;E;G;20;121;1;\;216;\;\;\;6;7;\;\;3,5;\
Picape;RAM;RAMPAGE;BIGHORN DS;2.2T-16V;Combustão;A-9;S;E;D;71;52;0;\;\;\;\;\;10,6;13,3;\;\;2,3;\
Picape;RAM;RAMPAGE;LARAMIE DS;2.2T-16V;Combustão;A-9;S;E;D;71;52;0;\;\;\;\;\;10,6;13,3;\;\;2,3;\
Picape;RAM;RAMPAGE;REBEL DS;2.2T-16V;Combustão;A-9;S;E;D;71;52;0;\;\;\;\;\;10,6;13,3;\;\;2,3;\
Picape;RAM;RAMPAGE;REBEL AT GAS;2.0T-16V;Combustão;A-9;S;E;G;23;184;1;\;155;\;\;\;8,2;9,8;\;\;2,51;\
Picape;RAM;RAMPAGE;LARAMIE GAS;2.0T-16V;Combustão;A-9;S;E;G;23;184;1;\;155;\;\;\;8,2;9,8;\;\;2,51;\
Picape;RAM;RAMPAGE;RT GAS;2.0T-16V;Combustão;A-9;S;E;G;22;131;1;\;161;\;\;\;7,7;9,9;\;\;2,61;\
Picape;TOYOTA;HILUX DIESEL 4X4 MT;CHASSI MT;2.8-16V;Combustão;M-6;S;H;D;73;57;ND;\;\;\;\;\;9,3;10,6;\;\;2,74;\
Picape;TOYOTA;HILUX DIESEL 4X4 MT;CABINE SIMPLES MT;2.8-16V;Combustão;M-6;S;H;D;73;57;ND;\;\;\;\;\;9,3;10,6;\;\;2,74;\
Picape;TOYOTA;HILUX DIESEL 4X4 MT;POW ER PACK MT;2.8-16V;Combustão;M-6;S;H;D;73;49;ND;\;\;\;\;\;9,7;11,2;\;\;2,62;\
Picape;TOYOTA;HILUX DIESEL 4X4 AT;CHASSI AT;2.8-16V;Combustão;A-6;S;H;D;71;18;ND;\;\;\;\;\;9,3;10;\;\;2,82;\
Picape;TOYOTA;HILUX DIESEL 4X4 AT;CABINE SIMPLES AT;2.8-16V;Combustão;A-6;S;H;D;71;18;ND;\;\;\;\;\;9,3;10;\;\;2,82;\
Picape;TOYOTA;HILUX DIESEL 4X4 AT;POW ER PACK AT;2.8-16V;Combustão;A-6;S;H;D;71;18;ND;\;\;\;\;\;9,3;10;\;\;2,82;\
Picape;TOYOTA;HILUX DIESEL 4X4 AT;SR AT;2.8-16V;Combustão;A-6;S;H;D;71;18;ND;\;\;\;\;\;9,3;10;\;\;2,82;\
Picape;TOYOTA;HILUX DIESEL 4X4 AT;SRV AT;2.8-16V;Combustão;A-6;S;H;D;71;18;ND;\;\;\;\;\;9,3;10;\;\;2,82;\
Picape;TOYOTA;HILUX DIESEL 4X4 AT;SRX AT;2.8-16V;Combustão;A-6;S;H;D;71;18;ND;\;\;\;\;\;9,3;10;\;\;2,82;\
Picape;TOYOTA;HILUX DIESEL 4X4 AT;SRX PLUS AT;2.8-16V;Combustão;A-6;S;H;D;71;18;ND;\;\;\;\;\;9,3;10;\;\;2,82;\
Picape;Volkswagen;AMAROK;V6 COMFORT (MY26);3.0 - 24V;Combustão;A - 8;S;H;D;80;33;ND;\;\;\;\;\;8,1;9,4;\;\;3,14;\
Picape;Volkswagen;AMAROK;V6 HIGH (MY26);3.0 - 24V;Combustão;A - 8;S;H;D;80;33;ND;\;\;\;\;\;8,1;9,4;\;\;3,14;\
Picape;Volkswagen;AMAROK;V6 EXTREME (MY26);3.0 - 24V;Combustão;A - 8;S;H;D;80;33;ND;\;\;\;\;\;8,1;9,4;\;\;3,14;\
Esportivo;MCLAREN;ARTURA;--;3.0-24V;Plug-in;DCT-8;S;E;G;19;173;0;\;102;0;\;\;6,5;8,5;12,3;16,9;1,45;23
Esportivo;MCLAREN;ARTURA;SPIDER;3.0-24V;Plug-in;DCT-8;S;E;G;19;173;0;\;102;0;\;\;6,5;8,5;12,3;16,9;1,45;23
Esportivo;MCLAREN;750S;COUPE;4.0-32V;Combustão;DCT-8;S;E;G;58;260;2;\;214;\;\;\;5,9;7,4;\;\;3,46;\
Esportivo;MCLAREN;750S;SPIDER;4.0-32V;Combustão;DCT-8;S;E;G;58;260;2;\;214;\;\;\;5,9;7,4;\;\;3,46;\
Esportivo;Mercedes-Benz;AMG GT63S EP;2P;4.0-32V;Plug-in;A-9;S;E;G;17;322;1;\;199;75;\;\;6,4;7,6;5,6;7,4;3,23;9
Esportivo;Mercedes-Benz;AMG GT63S EP;;4.0-32V;Plug-in;A-9;S;E;G;13;273;1;\;201;157;\;\;6,4;7,5;9,8;11,1;1,96;9
Esportivo;Mercedes-Benz;AMG GT63S EP;2P;4.0-32V;Plug-in;A-9;S;E;G;16;244;1;\;199;154;\;\;6,4;7,6;11,5;11,4;1,77;9
Esportivo;Mercedes-Benz;AMG SL63S EP;;4.0-32V;Plug-in;A-9;S;E;G;13;233;1;\;171;171;\;\;6,2;7,4;7,8;10,8;2,27;9
Esportivo;Mercedes-Benz;AMG SL63S EP;;4.0-32V;Plug-in;A-9;S;E;G;13;258;1;\;208;96;\;\;8,8;11,1;5,3;7,1;3,38;25
Esportivo;MG;CYBERSTER;77 KWH AWD;ELÉTRICO;ELÉTRICO;A-1;S;E;E;ND;ND;ND;\;\;\;\;\;\;\;38,9;33,9;0,56;342
Esportivo;PORSCHE;911;CARRERA S;3.0-24V;Combustão;DCT-8;S;E;G;3;89;1;\;173;\;\;\;7,3;8,9;\;\;2,81;\
Esportivo;PORSCHE;911;CARRERA SC;3.0-24V;Combustão;DCT-8;S;E;G;3;89;1;\;173;\;\;\;7,3;8,9;\;\;2,81;\
Esportivo;PORSCHE;911;CARRERA GTS;3.0-24V;Combustão;DCT-8;S;E;G;3;61;1;\;184;\;\;\;6,8;8,6;\;\;2,98;\
Esportivo;PORSCHE;911;CARRERA GTS CA;3.0-24V;Combustão;DCT-8;S;E;G;3;71;1;\;181;\;\;\;6,9;8,7;\;\;2,94;\
Esportivo;PORSCHE;911;GT3 MANUAL;4.0-32V;Combustão;M-6;S;E;G;25;93;1;\;237;\;\;\;5,2;6,9;\;\;3,86;\
Esportivo;PORSCHE;911;GT3 TOURMT;4.0-32V;Combustão;M-6;S;E;G;25;93;1;\;237;\;\;\;5,2;6,9;\;\;3,86;\
Esportivo;PORSCHE;911;GT3;4.0-32V;Combustão;DCT-7;S;E;G;25;79;1;\;227;\;\;\;5,6;6,8;\;\;3,69;\
Esportivo;PORSCHE;911;GT3 TOURING;4.0-32V;Combustão;DCT-7;S;E;G;25;79;1;\;227;\;\;\;5,6;6,8;\;\;3,69;\
Esportivo;PORSCHE;911;CARRERA;3.0-24V;Combustão;DCT-8;S;E;G;12;52;0;\;173;\;\;\;7;9,6;\;\;2,8;\
Esportivo;PORSCHE;911;CARRERA C;3.0-24V;Combustão;DCT-8;S;E;G;12;52;0;\;173;\;\;\;7;9,6;\;\;2,8;\
Esportivo;PORSCHE;911;CAR T MT;3.0-24V;Combustão;M-6;S;E;G;15;69;0;\;176;\;\;\;6,9;9,4;\;\;2,86;\
Esportivo;PORSCHE;911;CAR T MT 2;3.0-24V;Combustão;M-6;S;E;G;15;69;0;\;176;\;\;\;6,9;9,4;\;\;2,86;\
Esportivo;PORSCHE;911;CAR T MT;3.0-24V;Combustão;M-6;S;E;G;15;69;0;\;176;\;\;\;6,9;9,4;\;\;2,86;\
Esportivo;PORSCHE;911;CAR T MT 2;3.0-24V;Combustão;M-6;S;E;G;15;69;0;\;176;\;\;\;6,9;9,4;\;\;2,86;\
Esportivo;PORSCHE;911;CAR T MTCA;3.0-24V;Combustão;M-6;S;E;G;15;69;0;\;176;\;\;\;6,9;9,4;\;\;2,86;\
Esportivo;PORSCHE;911;SPIRIT 70;3.6-24V;Híbrido;DCT-8;S;E;G;33;85;1;\;173;\;\;\;7,2;9,2;\;\;2,8;\
Esportivo;PORSCHE;911;CAR T MTCA;3.0-24V;Combustão;M-6;S;E;G;15;69;0;\;176;\;\;\;6,9;9,4;\;\;2,86;\
Esportivo;PORSCHE;BOXSTER;GTS4.0;4.0-24V;Combustão;DCT-7;S;E;G;18;67;1;\;175;\;\;\;7,1;8,9;\;\;2,84;\
Esportivo;PORSCHE;BOXSTER;25 ANOS;4.0-24V;Combustão;DCT-7;S;E;G;18;67;1;\;175;\;\;\;7,1;8,9;\;\;2,84;\
Esportivo;PORSCHE;CAYMAN;GTS 4.0;4.0-24V;Combustão;DCT-7;S;E;G;18;67;1;\;175;\;\;\;7,1;8,9;\;\;2,84;\
Esportivo;PORSCHE;PANAMERA;TPHEV;4.0-32V;Plug-in;DCT-8;S;E;G;4;13;1;\;29;\;\;\;7;8,7;20,1;22,5;0,96;47
Esportivo;PORSCHE;PANAMERA;TSEHY;4.0-32V;Plug-in;DCT-8;S;E;G;3;14;0;\;30;5;\;\;6,9;8,6;20,1;22,2;0,96;60
Esportivo;PORSCHE;PANAMERA;4EHYB;2.9-24V;Plug-in;DCT-8;S;E;G;3;20;1;\;25;5;\;\;8;9,2;22;23,3;0,9;63
Esportivo;PORSCHE;PANAMERA;4SEHY;2.9-24V;Plug-in;DCT-8;S;E;G;4;24;1;\;25;0;\;\;8,1;9,4;21;23,1;0,93;63
Esportivo;PORSCHE;TAYCAN;TURBO S;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30,7;30,2;0,67;425
Esportivo;PORSCHE;TAYCAN;L;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;33,7;32;0,62;393
Esportivo;PORSCHE;TAYCAN;4;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30;28,5;0,69;415
Esportivo;PORSCHE;TAYCAN;4S;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30;28,5;0,69;415
Esportivo;PORSCHE;TAYCAN;4S CT;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30;28,5;0,69;415
Esportivo;PORSCHE;TAYCAN;4CT;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30;28,5;0,69;415
Esportivo;PORSCHE;TAYCAN;4GTS;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30,8;29,9;0,67;428
Esportivo;PORSCHE;TAYCAN;TURBOCT;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30;28,5;0,69;415
Esportivo;PORSCHE;TAYCAN;TURBO;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;30;28,5;0,69;415
Esportivo;PORSCHE;TAYCAN;TURBOGT;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;33,7;29,7;0,64;442
Esportivo;PORSCHE;TAYCAN;_;ELÉTRICO;ELÉTRICO;--;S;E;E;0;0;0;\;0;\;\;\;\;\;32,6;31,5;0,63;453
